Entrez ID	Type
86	best inferred
84131	not inferred
87	best inferred
11138	best inferred
85460	not inferred
88	best inferred
89	best inferred
100272147	not inferred
107985184	not inferred
90	best inferred
91	best inferred
92	best inferred
93	inferred
94	best inferred
95	not inferred
345895	not inferred
105372698	not inferred
97	best inferred
98	best inferred
729993	not inferred
344561	not inferred
728661	best inferred
50717	best inferred
729991	inferred
261734	best inferred
260404	not inferred
3803	not inferred
3804	inferred
164284	not inferred
3805	inferred
3806	not inferred
3808	not inferred
3809	inferred
344558	not inferred
3800	landmark
3801	best inferred
3802	inferred
728695	not inferred
392197	not inferred
285736	not inferred
261726	best inferred
3814	inferred
222161	best inferred
3815	landmark
3816	best inferred
3817	inferred
261729	not inferred
3818	best inferred
222166	not inferred
3810	not inferred
3811	inferred
3812	not inferred
105370059	not inferred
3813	not inferred
107985199	not inferred
107985196	not inferred
728689	not inferred
3827	inferred
246100	not inferred
105371371	not inferred
3820	best inferred
105370045	not inferred
3821	not inferred
3822	not inferred
3823	best inferred
3824	best inferred
645402	not inferred
403312	not inferred
403313	not inferred
403314	not inferred
728637	not inferred
729967	not inferred
728635	not inferred
3836	best inferred
222183	not inferred
3837	best inferred
3838	best inferred
284418	not inferred
3839	best inferred
284417	not inferred
284415	not inferred
404636	not inferred
3831	best inferred
3832	best inferred
3833	best inferred
3834	inferred
3835	best inferred
619189	not inferred
164237	not inferred
729956	not inferred
140290	inferred
728621	inferred
2515	inferred
3848	best inferred
3849	best inferred
2512	best inferred
222171	not inferred
284406	not inferred
284403	best inferred
284402	not inferred
3840	best inferred
3841	best inferred
3842	best inferred
105371397	not inferred
2519	not inferred
3843	best inferred
2517	best inferred
3845	best inferred
2516	inferred
3846	inferred
646754	not inferred
3860	inferred
260434	not inferred
23189	best inferred
260436	not inferred
728656	not inferred
2526	not inferred
3858	best inferred
23180	best inferred
2525	best inferred
3859	inferred
23181	best inferred
2524	best inferred
2523	landmark
105370092	not inferred
23184	not inferred
2521	best inferred
23185	best inferred
2520	inferred
23186	best inferred
23187	best inferred
3850	inferred
3851	inferred
3852	best inferred
3853	best inferred
645414	not inferred
3854	best inferred
2529	inferred
3855	best inferred
2528	best inferred
3856	best inferred
2527	not inferred
3857	best inferred
152273	not inferred
644100	not inferred
728642	best inferred
645432	not inferred
23199	best inferred
260425	not inferred
285704	not inferred
729974	not inferred
260429	not inferred
2537	best inferred
23191	best inferred
222194	not inferred
23192	best inferred
2535	best inferred
23193	best inferred
1203	best inferred
2534	landmark
23194	best inferred
2533	best inferred
23195	best inferred
1201	best inferred
2532	best inferred
23196	best inferred
1200	best inferred
2531	best inferred
23197	best inferred
2530	best inferred
23198	best inferred
3861	best inferred
645426	not inferred
645425	not inferred
1209	best inferred
3866	inferred
152286	not inferred
1208	inferred
2539	best inferred
1207	best inferred
2538	inferred
3868	best inferred
23190	best inferred
25903	best inferred
25902	not inferred
100130857	not inferred
25904	not inferred
25907	best inferred
285311	not inferred
3880	best inferred
25906	best inferred
3881	best inferred
25909	best inferred
285313	not inferred
3882	best inferred
100127206	not inferred
2551	best inferred
285315	not inferred
2550	best inferred
107181291	not inferred
25901	best inferred
25900	best inferred
2548	landmark
2547	best inferred
223075	not inferred
1215	best inferred
100141515	not inferred
1213	landmark
1212	landmark
2543	best inferred
1211	best inferred
2542	landmark
2541	not inferred
3872	best inferred
3875	best inferred
2549	best inferred
25914	not inferred
25913	best inferred
25915	best inferred
3890	inferred
3891	inferred
25917	not inferred
3892	not inferred
2562	best inferred
1230	best inferred
2561	inferred
2560	best inferred
25912	not inferred
25911	not inferred
2559	inferred
2558	best inferred
440097	not inferred
2557	best inferred
2556	best inferred
2555	best inferred
2554	best inferred
440093	not inferred
2553	landmark
3883	inferred
3884	inferred
3885	inferred
3886	inferred
100129852	not inferred
3887	inferred
3888	not inferred
3889	inferred
100128517	not inferred
107986339	not inferred
285331	not inferred
285335	not inferred
100129846	not inferred
1241	best inferred
2572	best inferred
1240	best inferred
2571	best inferred
2570	inferred
1238	inferred
2569	inferred
1237	inferred
2568	best inferred
1236	best inferred
2567	best inferred
1235	inferred
2566	best inferred
1234	best inferred
2565	not inferred
1233	best inferred
2564	best inferred
1232	inferred
2563	best inferred
100129840	not inferred
3895	landmark
100129842	not inferred
3897	best inferred
3898	best inferred
3899	inferred
100130827	not inferred
100129836	not inferred
285343	not inferred
286676	not inferred
285346	not inferred
2584	best inferred
2583	best inferred
285349	not inferred
2582	landmark
2581	best inferred
2580	best inferred
2579	not inferred
2578	not inferred
2577	not inferred
2576	not inferred
1244	best inferred
2575	not inferred
2574	not inferred
223082	not inferred
100130817	not inferred
1264	best inferred
2595	not inferred
107985022	not inferred
107986354	not inferred
1263	best inferred
107986353	not inferred
1262	not inferred
2593	best inferred
116966	not inferred
107986352	not inferred
1261	inferred
2592	best inferred
107985021	not inferred
107986351	not inferred
1260	not inferred
2591	best inferred
2590	best inferred
116969	not inferred
1259	best inferred
1258	inferred
2589	best inferred
2588	best inferred
2587	inferred
